Elecció;Any;Districte;Secció;CDIS;CSEC;CUSEC;Censo;Votants;Vots;Participació;ARA PL;% ARA PL;Junts;% Junts;Cs;% Cs;CUP;% CUP;ERC;% ERC;PACMA;% PACMA;PCTC;% PCTC;PFIV;% PFIV;PP;% PP;PSC;% PSC;Comuns;% Comuns;TxT;% TxT;Valents;% Valents;VOX;% VOX;Altres;% Altres
Municipals;2023;5;22;05;022;0827905022;584;251;251;42,98%;0;0,00%;13;5,18%;6;2,39%;7;2,79%;17;6,77%;5;1,99%;2;0,80%;2;0,80%;27;10,76%;44;17,53%;15;5,98%;80;31,87%;1;0,40%;28;11,16%;9;0.0359
Municipals;2023;5;23;05;023;0827905023;1475;804;793;54,51%;0;0,00%;80;10,09%;14;1,77%;43;5,42%;86;10,84%;5;0,63%;2;0,25%;4;0,50%;40;5,04%;119;15,01%;37;4,67%;293;36,95%;4;0,50%;51;6,43%;25;0.0315
Municipals;2023;5;24;05;024;0827905024;1196;653;653;54,60%;0;0,00%;36;5,51%;26;3,98%;13;1,99%;49;7,50%;9;1,38%;2;0,31%;7;1,07%;36;5,51%;135;20,67%;32;4,90%;224;34,30%;3;0,46%;69;10,57%;24;0.0368
Municipals;2023;5;25;05;025;0827905025;975;493;489;50,56%;1;0,20%;14;2,86%;11;2,25%;12;2,45%;40;8,18%;4;0,82%;0;0,00%;0;0,00%;22;4,50%;111;22,70%;15;3,07%;206;42,13%;1;0,20%;47;9,61%;7;0.0143
Municipals;2023;5;26;05;026;0827905026;971;565;554;58,19%;1;0,18%;66;11,91%;12;2,17%;23;4,15%;43;7,76%;7;1,26%;3;0,54%;7;1,26%;32;5,78%;105;18,95%;24;4,33%;194;35,02%;1;0,18%;27;4,87%;21;0.0379
Municipals;2023;5;27;05;027;0827905027;960;545;534;56,77%;1;0,18%;50;9,36%;8;1,50%;29;5,43%;52;9,74%;6;1,12%;1;0,19%;2;0,37%;38;7,12%;89;16,67%;21;3,93%;194;36,33%;0;0,00%;34;6,37%;13;0.0243
Municipals;2023;5;28;05;028;0827905028;948;574;571;60,55%;0;0,00%;17;2,98%;21;3,68%;10;1,75%;32;5,60%;11;1,93%;0;0,00%;1;0,18%;39;6,83%;125;21,89%;25;4,38%;214;37,48%;3;0,53%;65;11,38%;12;0.0210
Municipals;2023;5;29;05;029;0827905029;974;531;527;54,52%;0;0,00%;18;3,42%;8;1,52%;17;3,23%;40;7,59%;7;1,33%;0;0,00%;2;0,38%;21;3,98%;107;20,30%;20;3,80%;229;43,45%;1;0,19%;48;9,11%;12;0.0228
Municipals;2023;5;30;05;030;0827905030;824;389;389;47,21%;0;0,00%;8;2,06%;9;2,31%;7;1,80%;11;2,83%;11;2,83%;1;0,26%;0;0,00%;26;6,68%;130;33,42%;13;3,34%;115;29,56%;2;0,51%;55;14,14%;4;0.0103
Municipals;2023;5;31;05;031;0827905031;585;299;297;51,11%;1;0,33%;4;1,35%;11;3,70%;16;5,39%;5;1,68%;2;0,67%;1;0,34%;0;0,00%;26;8,75%;85;28,62%;27;9,09%;74;24,92%;2;0,67%;39;13,13%;8;0.0269
Municipals;2023;5;32;05;032;0827905032;948;533;527;56,22%;1;0,19%;19;3,61%;10;1,90%;15;2,85%;34;6,45%;8;1,52%;5;0,95%;6;1,14%;52;9,87%;125;23,72%;30;5,69%;170;32,26%;3;0,57%;43;8,16%;21;0.0398
Municipals;2023;6;1;06;001;0827906001;886;463;462;52,26%;0;0,00%;14;3,03%;10;2,16%;10;2,16%;19;4,11%;4;0,87%;1;0,22%;1;0,22%;30;6,49%;163;35,28%;14;3,03%;132;28,57%;0;0,00%;56;12,12%;10;0.0216
Municipals;2023;6;2;06;002;0827906002;1219;580;576;47,58%;0;0,00%;17;2,95%;8;1,39%;14;2,43%;29;5,03%;18;3,13%;2;0,35%;0;0,00%;36;6,25%;147;25,52%;33;5,73%;174;30,21%;3;0,52%;90;15,63%;10;0.0174
Municipals;2023;6;3;06;003;0827906003;1483;731;722;49,29%;1;0,14%;17;2,35%;12;1,66%;11;1,52%;34;4,71%;9;1,25%;0;0,00%;0;0,00%;73;10,11%;192;26,59%;42;5,82%;220;30,47%;0;0,00%;101;13,99%;11;0.0152
Municipals;2023;6;4;06;004;0827906004;885;374;370;42,26%;0;0,00%;8;2,16%;9;2,43%;15;4,05%;15;4,05%;5;1,35%;2;0,54%;0;0,00%;31;8,38%;108;29,19%;16;4,32%;94;25,41%;1;0,27%;58;15,68%;11;0.0297
Municipals;2023;6;5;06;005;0827906005;1131;531;526;46,95%;0;0,00%;13;2,47%;12;2,28%;23;4,37%;26;4,94%;11;2,09%;1;0,19%;0;0,00%;38;7,22%;123;23,38%;23;4,37%;177;33,65%;3;0,57%;71;13,50%;9;0.0171
Municipals;2023;6;6;06;006;0827906006;1202;556;551;46,26%;0;0,00%;5;0,91%;12;2,18%;10;1,81%;31;5,63%;11;2,00%;2;0,36%;0;0,00%;41;7,44%;123;22,32%;17;3,09%;180;32,67%;1;0,18%;114;20,69%;7;0.0127
Municipals;2023;6;8;06;008;0827906008;1697;826;814;48,67%;0;0,00%;62;7,62%;18;2,21%;34;4,18%;81;9,95%;19;2,33%;1;0,12%;2;0,25%;38;4,67%;168;20,64%;37;4,55%;255;31,33%;4;0,49%;88;10,81%;14;0.0172
Municipals;2023;6;9;06;009;0827906009;905;445;442;49,17%;0;0,00%;18;4,07%;14;3,17%;6;1,36%;34;7,69%;8;1,81%;0;0,00%;3;0,68%;29;6,56%;100;22,62%;26;5,88%;142;32,13%;1;0,23%;57;12,90%;8;0.0181
Municipals;2023;6;10;06;010;0827906010;1606;797;787;49,63%;3;0,38%;14;1,78%;19;2,41%;12;1,52%;55;6,99%;7;0,89%;1;0,13%;2;0,25%;68;8,64%;237;30,11%;47;5,97%;241;30,62%;3;0,38%;78;9,91%;9;0.0114
Municipals;2023;6;11;06;011;0827906011;1191;520;519;43,66%;1;0,19%;4;0,77%;19;3,66%;4;0,77%;23;4,43%;9;1,73%;2;0,39%;3;0,58%;36;6,94%;124;23,89%;24;4,62%;200;38,54%;0;0,00%;69;13,29%;7;0.0135
Municipals;2023;6;12;06;012;0827906012;924;423;418;45,78%;1;0,24%;8;1,91%;3;0,72%;7;1,67%;40;9,57%;8;1,91%;0;0,00%;2;0,48%;35;8,37%;121;28,95%;15;3,59%;123;29,43%;2;0,48%;47;11,24%;11;0.0263
Municipals;2023;6;13;06;013;0827906013;682;352;350;51,61%;0;0,00%;3;0,86%;2;0,57%;3;0,86%;12;3,43%;3;0,86%;1;0,29%;0;0,00%;33;9,43%;119;34,00%;22;6,29%;105;30,00%;1;0,29%;45;12,86%;3;0.0086
Municipals;2023;6;14;06;014;0827906014;720;277;275;38,47%;0;0,00%;8;2,91%;2;0,73%;12;4,36%;11;4,00%;7;2,55%;0;0,00%;0;0,00%;27;9,82%;63;22,91%;13;4,73%;82;29,82%;0;0,00%;47;17,09%;3;0.0109
Municipals;2023;6;16;06;016;0827906016;1133;487;482;42,98%;0;0,00%;26;5,39%;5;1,04%;21;4,36%;23;4,77%;11;2,28%;3;0,62%;1;0,21%;37;7,68%;122;25,31%;23;4,77%;153;31,74%;0;0,00%;51;10,58%;10;0.0207
Municipals;2023;6;18;06;018;0827906018;882;404;403;45,80%;0;0,00%;4;0,99%;4;0,99%;3;0,74%;11;2,73%;8;1,99%;2;0,50%;2;0,50%;23;5,71%;141;34,99%;16;3,97%;104;25,81%;3;0,74%;78;19,35%;11;0.0273
Municipals;2023;6;20;06;020;0827906020;1070;437;436;40,84%;0;0,00%;6;1,38%;2;0,46%;4;0,92%;10;2,29%;7;1,61%;3;0,69%;0;0,00%;40;9,17%;135;30,96%;17;3,90%;109;25,00%;2;0,46%;93;21,33%;13;0.0298
Municipals;2023;6;23;06;023;0827906023;1028;460;454;44,75%;0;0,00%;5;1,10%;4;0,88%;3;0,66%;24;5,29%;9;1,98%;2;0,44%;0;0,00%;40;8,81%;122;26,87%;9;1,98%;158;34,80%;3;0,66%;71;15,64%;9;0.0198
Municipals;2023;6;24;06;024;0827906024;1786;917;915;51,34%;2;0,22%;9;0,98%;14;1,53%;13;1,42%;44;4,81%;23;2,51%;2;0,22%;4;0,44%;67;7,32%;224;24,48%;57;6,23%;295;32,24%;8;0,87%;143;15,63%;26;0.0284
Municipals;2023;6;25;06;025;0827906025;1441;700;692;48,58%;0;0,00%;13;1,88%;14;2,02%;10;1,45%;49;7,08%;15;2,17%;1;0,14%;1;0,14%;43;6,21%;161;23,27%;50;7,23%;202;29,19%;3;0,43%;123;17,77%;12;0.0173
Municipals;2023;6;26;06;026;0827906026;1221;588;586;48,16%;0;0,00%;6;1,02%;11;1,88%;15;2,56%;34;5,80%;13;2,22%;2;0,34%;2;0,34%;36;6,14%;128;21,84%;33;5,63%;187;31,91%;2;0,34%;109;18,60%;14;0.0239
Municipals;2023;6;27;06;027;0827906027;939;392;391;41,75%;0;0,00%;2;0,51%;7;1,79%;1;0,26%;10;2,56%;3;0,77%;2;0,51%;1;0,26%;26;6,65%;111;28,39%;15;3,84%;145;37,08%;2;0,51%;63;16,11%;8;0.0205
Municipals;2023;6;28;06;028;0827906028;1195;642;636;53,72%;0;0,00%;4;0,63%;8;1,26%;3;0,47%;51;8,02%;10;1,57%;1;0,16%;0;0,00%;57;8,96%;170;26,73%;44;6,92%;188;29,56%;3;0,47%;95;14,94%;6;0.0094
Municipals;2023;6;29;06;029;0827906029;835;403;400;48,26%;0;0,00%;2;0,50%;9;2,25%;4;1,00%;13;3,25%;9;2,25%;1;0,25%;0;0,00%;35;8,75%;100;25,00%;11;2,75%;103;25,75%;1;0,25%;106;26,50%;8;0.0200
Municipals;2023;6;30;06;030;0827906030;588;281;279;47,79%;0;0,00%;3;1,08%;4;1,43%;4;1,43%;26;9,32%;4;1,43%;0;0,00%;2;0,72%;23;8,24%;55;19,71%;10;3,58%;98;35,13%;2;0,72%;44;15,77%;8;0.0287
Municipals;2023;6;31;06;031;0827906031;727;318;314;43,74%;0;0,00%;3;0,96%;2;0,64%;8;2,55%;11;3,50%;7;2,23%;0;0,00%;2;0,64%;22;7,01%;72;22,93%;15;4,78%;115;36,62%;2;0,64%;51;16,24%;8;0.0255
Municipals;2023;6;32;06;032;0827906032;785;381;379;48,54%;0;0,00%;5;1,32%;6;1,58%;2;0,53%;14;3,69%;6;1,58%;0;0,00%;3;0,79%;34;8,97%;99;26,12%;14;3,69%;99;26,12%;3;0,79%;91;24,01%;9;0.0237
Municipals;2023;6;33;06;033;0827906033;1070;555;550;51,87%;0;0,00%;20;3,64%;15;2,73%;9;1,64%;30;5,45%;6;1,09%;0;0,00%;3;0,55%;32;5,82%;109;19,82%;29;5,27%;201;36,55%;2;0,36%;85;15,45%;14;0.0255
Municipals;2023;7;1;07;001;0827907001;1025;470;464;45,85%;1;0,21%;27;5,82%;7;1,51%;13;2,80%;34;7,33%;8;1,72%;1;0,22%;0;0,00%;35;7,54%;91;19,61%;29;6,25%;143;30,82%;0;0,00%;66;14,22%;11;0.0237
Municipals;2023;7;2;07;002;0827907002;1540;674;672;43,77%;0;0,00%;5;0,74%;13;1,93%;5;0,74%;24;3,57%;8;1,19%;1;0,15%;2;0,30%;28;4,17%;264;39,29%;29;4,32%;183;27,23%;3;0,45%;101;15,03%;12;0.0179
Municipals;2023;7;3;07;003;0827907003;1132;400;399;35,34%;1;0,25%;5;1,25%;1;0,25%;0;0,00%;17;4,26%;4;1,00%;0;0,00%;3;0,75%;35;8,77%;138;34,59%;10;2,51%;105;26,32%;2;0,50%;70;17,54%;14;0.0351
Municipals;2023;7;4;07;004;0827907004;1869;894;890;47,83%;1;0,11%;21;2,36%;21;2,36%;13;1,46%;59;6,63%;20;2,25%;2;0,22%;4;0,45%;101;11,35%;213;23,93%;28;3,15%;224;25,17%;0;0,00%;167;18,76%;23;0.0258
Municipals;2023;7;5;07;005;0827907005;1110;567;557;51,08%;1;0,18%;30;5,39%;5;0,90%;17;3,05%;50;8,98%;15;2,69%;6;1,08%;5;0,90%;32;5,75%;128;22,98%;35;6,28%;160;28,73%;4;0,72%;63;11,31%;22;0.0395
